name,email,degreeProgram,isTA?,isGrader?,isSG?,positionString,preferences,antipref,indifferent
132,email,degree,0,1,1,Senior Grader;Grader,"411, 221, 310, 420, 410, 465, 110, 111, 121, 181, 206, 222, 314, 315, 433, 431, 438, 451, 463, 470",,"100, 200, 300, 400"
133,email,degree,1,1,1,Teaching Assistant;Senior Grader;Grader,"420, 310",,"100, 200, 300, 400"
134,email,degree,1,0,0,Teaching Assistant,121,,"100, 200, 300, 400"
135,email,degree,0,1,0,Grader,"110, 221, 310, 314, 411, 431, 606, 625, 629, 636",,"100, 200, 300, 400"
136,email,degree,1,1,1,Teaching Assistant;Senior Grader;Grader,"121, 310, 304",313,"100, 200, 300, 400"
137,email,degree,1,1,1,Teaching Assistant;Senior Grader;Grader,"411, 431, 629, 606, 633",,"100, 200, 300, 400"
138,email,degree,1,0,0,Teaching Assistant,111,,"100, 200, 300, 400"
139,email,degree,1,1,1,Teaching Assistant;Senior Grader,"612, 463, 111, 121, 221, 313",222,"100, 200, 300, 400"
140,email,degree,1,1,1,Teaching Assistant;Senior Grader;Grader,"222, 310, 314, 410, 411, 420, 435, 436, 441, 445, 464, 465, 181",,"100, 200, 300, 400"
141,email,degree,1,1,1,Teaching Assistant;Senior Grader;Grader,"110, 111, 121, 221, 314",,"100, 200, 300, 400"
142,email,degree,1,1,1,Teaching Assistant;Senior Grader;Grader,,,"100, 200, 300, 400"
143,email,degree,1,1,1,Teaching Assistant;Senior Grader;Grader,"100, 200, 300",312,"100, 200, 300, 400"
144,email,degree,1,1,1,Teaching Assistant;Senior Grader;Grader,"222, 100, 200, 300 400",,"100, 200, 300, 400"
145,email,degree,1,1,1,Teaching Assistant;Senior Grader;Grader,"111, 315, 110, 206, 313, 312",,"100, 200, 300, 400"
146,email,degree,1,1,1,Teaching Assistant;Senior Grader;Grader,"121, 222, 221, 436, 310, 314, 315","441, 410, 313","100, 200, 300, 400"
147,email,degree,1,1,1,Teaching Assistant;Senior Grader;Grader,"221, 121, 110, 206, 111, 411, 222",,"100, 200, 300, 400"
148,email,degree,1,0,0,Teaching Assistant,"110, 111, 121, 181, 206, 221, 222, 312, 313, 314, 315, 350, 310, 411, 435, 462, 464",400,"100, 200, 300, 400"
149,email,degree,1,1,1,Teaching Assistant;Senior Grader;Grader,"100, 200, 300, 410, 420, 435, 462, 616","313, 438, 463, 464, 465, 310, 438, 113, 441","100, 200, 300, 400"
150,email,degree,1,1,1,Teaching Assistant;Senior Grader;Grader,"420, 431, 411",,"100, 200, 300, 400"
151,email,degree,0,1,1,Senior Grader;Grader,,,"100, 200, 300, 400"
152,email,degree,1,1,1,Teaching Assistant;Senior Grader;Grader,"110, 221, 314, 315, 410, 420, 431","222, 433, 436, 440, 462","100, 200, 300, 400"
153,email,degree,1,1,1,Teaching Assistant;Senior Grader;Grader,"100, 200, 300",,"100, 200, 300, 400"
154,email,degree,1,1,1,Teaching Assistant;Senior Grader;Grader,"110, 464, 463, 462, 636, 633, 445",,"100, 200, 300, 400"
155,email,degree,0,1,1,Senior Grader;Grader,"110, 111, 121, 206, 221, 314, 411, 431",,"100, 200, 300, 400"
156,email,degree,1,1,1,Teaching Assistant;Senior Grader;Grader,"350, 410, 462, 463, 464, 313",,"100, 200, 300, 400"
157,email,degree,1,1,1,Teaching Assistant;Senior Grader;Grader,"463, 612, 313, 312, 483, 410",,"100, 200, 300, 400"
158,email,degree,1,1,1,Teaching Assistant;Senior Grader;Grader,"110, 111, 121, 221, 314, 410, 431, 312, 315",206,"100, 200, 300, 400"
159,email,degree,1,1,1,Teaching Assistant;Senior Grader;Grader,"110, 601, 606, 312, 625, 639, 643, 350, 420, 429, 431, 463, 464, 465, 619",,"100, 200, 300, 400"
160,email,degree,1,1,1,Teaching Assistant;Senior Grader;Grader,"606, 678, 629, 431, 310, 411",,"100, 200, 300, 400"
161,email,degree,1,0,0,Teaching Assistant,"470, 636, 670, 633, 625, 420",,"100, 200, 300, 400"
162,email,degree,1,0,0,Teaching Assistant,"435, 660, 489, 411, 221, 206, 222, 121",,"100, 200, 300, 400"
163,email,degree,1,0,0,Teaching Assistant,"660, 645, 629, 411, 440, 451, 637, 640, 627, 222, 221",,"100, 200, 300, 400"
164,email,degree,1,0,0,Teaching Assistant,"310, 100, 431, 420",,"100, 200, 300, 400"
165,email,degree,1,1,1,Teaching Assistant;Senior Grader;Grader,"121, 482, 606, 681",,"100, 200, 300, 400"
166,email,degree,1,0,0,Teaching Assistant,314,,"100, 200, 300, 400"
167,email,degree,1,1,1,Teaching Assistant;Senior Grader;Grader,"222, 221, 110, 111, 121, 181, 206","315, 350, 399, 400","100, 200, 300, 400"
168,email,degree,1,0,0,Teaching Assistant,"482, 452, 420, 470, 441, 313, 222",,"100, 200, 300, 400"
169,email,degree,1,0,0,Teaching Assistant,"100, 200, 300, 400",,"100, 200, 300, 400"
170,email,degree,1,0,0,Teaching Assistant,"110, 111, 121, 181, 206, 221, 314, 606, 625, 627",315,"100, 200, 300, 400"
171,email,degree,1,0,0,Teaching Assistant,"310, 411, 420",,"100, 200, 300, 400"
172,email,degree,0,1,1,Senior Grader;Grader,"100, 200, 300, 410, 420, 431, 436, 441, 443, 445",291,"100, 200, 300, 400"
173,email,degree,1,0,0,Teaching Assistant,"482, 483, 221, 121","310, 312, 433, 436, 438","100, 200, 300, 400"
174,email,degree,1,1,1,Teaching Assistant;Senior Grader;Grader,"100, 200, 300, 431, 606",,"100, 200, 300, 400"
175,email,degree,1,1,1,Teaching Assistant;Senior Grader;Grader,"110, 111, 121, 206, 221, 431",,"100, 200, 300, 400"
176,email,degree,1,0,0,Teaching Assistant,"482, 121",,"100, 200, 300, 400"
177,email,degree,1,0,0,Teaching Assistant,421,,"100, 200, 300, 400"
178,email,degree,1,0,0,Teaching Assistant,441,,"100, 200, 300, 400"
179,email,degree,1,0,0,Teaching Assistant,633,,"100, 200, 300, 400"
180,email,degree,0,1,1,Senior Grader;Grader,"110, 111, 181, 206, 221","606, 613, 629","100, 200, 300, 400"
181,email,degree,1,0,0,Teaching Assistant,"411, 222, 121",,"100, 200, 300, 400"
